statement,metric,source_tag,value,unit,start_date,end_date,filed_date,form,period_type
cash_flow,business_acquisitions,PaymentsToAcquireBusinessesNetOfCashAcquired,493493000.0,USD,2007-01-01,2007-12-31,2010-02-19,10-K,duration
cash_flow,business_acquisitions,PaymentsToAcquireBusinessesNetOfCashAcquired,266093000.0,USD,2008-01-01,2008-06-30,2009-08-03,10-Q,duration
cash_flow,business_acquisitions,PaymentsToAcquireBusinessesNetOfCashAcquired,262347000.0,USD,2008-01-01,2008-09-30,2009-11-03,10-Q,duration
cash_flow,business_acquisitions,PaymentsToAcquireBusinessesNetOfCashAcquired,422915000.0,USD,2008-01-01,2008-12-31,2010-02-19,10-K,duration
cash_flow,business_acquisitions,PaymentsToAcquireBusinessesNetOfCashAcquired,422915000.0,USD,2008-01-01,2008-12-31,2011-02-18,10-K,duration
cash_flow,business_acquisitions,PaymentsToAcquireBusinessesNetOfCashAcquired,422915000.0,USD,2008-01-01,2008-12-31,2011-10-20,8-K,duration
cash_flow,business_acquisitions,BusinessAcquisitionCostOfAcquiredEntityCashPaid,225000000.0,USD,,2008-12-31,2011-02-18,10-K,instant
cash_flow,business_acquisitions,PaymentsToAcquireBusinessesNetOfCashAcquired,12367000.0,USD,2009-01-01,2009-03-31,2010-04-27,10-Q,duration
cash_flow,business_acquisitions,PaymentsToAcquireBusinessesNetOfCashAcquired,12367000.0,USD,2009-01-01,2009-06-30,2009-08-03,10-Q,duration
cash_flow,business_acquisitions,PaymentsToAcquireBusinessesNetOfCashAcquired,12367000.0,USD,2009-01-01,2009-06-30,2010-08-02,10-Q,duration
cash_flow,business_acquisitions,PaymentsToAcquireBusinessesNetOfCashAcquired,12436000.0,USD,2009-01-01,2009-09-30,2009-11-03,10-Q,duration
cash_flow,business_acquisitions,PaymentsToAcquireBusinessesNetOfCashAcquired,12436000.0,USD,2009-01-01,2009-09-30,2010-11-01,10-Q,duration
cash_flow,business_acquisitions,PaymentsToAcquireBusinessesNetOfCashAcquired,12436000.0,USD,2009-01-01,2009-12-31,2010-02-19,10-K,duration
cash_flow,business_acquisitions,PaymentsToAcquireBusinessesNetOfCashAcquired,12436000.0,USD,2009-01-01,2009-12-31,2011-02-18,10-K,duration
cash_flow,business_acquisitions,PaymentsToAcquireBusinessesNetOfCashAcquired,12436000.0,USD,2009-01-01,2009-12-31,2011-10-20,8-K,duration
cash_flow,business_acquisitions,PaymentsToAcquireBusinessesNetOfCashAcquired,12000000.0,USD,2009-01-01,2009-12-31,2012-02-24,10-K,duration
cash_flow,business_acquisitions,PaymentsToAcquireBusinessesNetOfCashAcquired,0.0,USD,2010-01-01,2010-03-31,2010-04-27,10-Q,duration
cash_flow,business_acquisitions,PaymentsToAcquireBusinessesNetOfCashAcquired,0.0,USD,2010-01-01,2010-03-31,2011-05-03,10-Q,duration
cash_flow,business_acquisitions,PaymentsToAcquireBusinessesNetOfCashAcquired,1669000.0,USD,2010-01-01,2010-06-30,2010-08-02,10-Q,duration
cash_flow,business_acquisitions,PaymentsToAcquireBusinessesNetOfCashAcquired,1669000.0,USD,2010-01-01,2010-06-30,2011-08-01,10-Q,duration
cash_flow,business_acquisitions,PaymentsToAcquireBusinessesNetOfCashAcquired,10120000.0,USD,2010-01-01,2010-09-30,2010-11-01,10-Q,duration
cash_flow,business_acquisitions,PaymentsToAcquireBusinessesNetOfCashAcquired,10120000.0,USD,2010-01-01,2010-09-30,2011-10-31,10-Q,duration
cash_flow,business_acquisitions,BusinessAcquisitionCostOfAcquiredEntityCashPaid,8500000.0,USD,,2010-09-30,2010-11-01,10-Q,instant
cash_flow,business_acquisitions,PaymentsToAcquireBusinessesNetOfCashAcquired,832450000.0,USD,2010-01-01,2010-12-31,2011-02-18,10-K,duration
cash_flow,business_acquisitions,PaymentsToAcquireBusinessesNetOfCashAcquired,832450000.0,USD,2010-01-01,2010-12-31,2011-10-20,8-K,duration
cash_flow,business_acquisitions,PaymentsToAcquireBusinessesNetOfCashAcquired,833000000.0,USD,2010-01-01,2010-12-31,2012-02-24,10-K,duration
cash_flow,business_acquisitions,PaymentsToAcquireBusinessesNetOfCashAcquired,833000000.0,USD,2010-01-01,2010-12-31,2013-02-22,10-K,duration
cash_flow,business_acquisitions,PaymentsToAcquireBusinessesNetOfCashAcquired,5000000.0,USD,2011-01-01,2011-03-31,2011-05-03,10-Q,duration
cash_flow,business_acquisitions,PaymentsToAcquireBusinessesNetOfCashAcquired,5000000.0,USD,2011-01-01,2011-03-31,2012-04-30,10-Q,duration
